released_year,streams,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify
2004,657723613,D#,Major,86,74,80,33,0,8,6,summer,1,True
2016,2713922350,C#,Major,77,36,63,1,0,36,5,spring,1,True
2010,621660989,G#,Major,45,24,62,8,0,16,3,winter,3,True
2020,1591223784,B,Major,68,61,82,2,0,50,3,spring,2,True
2010,950906471,B,Minor,68,51,60,3,0,19,10,spring,1,True
1983,1593270737,C#,Major,82,73,45,54,0,7,3,winter,2,True
2015,1410088830,D,Major,45,10,37,97,25,64,4,winter,3,True
2011,1235005533,C#,Major,73,60,77,3,0,11,4,winter,2,True
2012,1661187319,G,Major,60,43,27,94,0,14,4,winter,3,True
2018,1374581173,C#,Minor,65,51,55,73,0,14,3,spring,3,True
2023,94186466,A,Minor,60,13,53,4,0,21,4,summer,1,True
2013,1788326445,F,Major,55,42,53,17,0,22,3,winter,1,True
2012,1840364617,D#,Major,33,38,71,20,0,28,5,winter,3,True
2023,143573775,C#,Major,57,84,94,11,0,37,9,spring,3,True
2016,684675814,G#,Major,71,40,50,16,0,16,22,fall,3,True
2014,1113838873,G,Major,65,95,80,5,0,41,16,winter,3,True
2013,1267333350,D,Major,70,81,63,4,0,8,4,winter,1,True
2022,726307468,A,Major,56,53,64,11,0,45,6,spring,3,True
2017,3562543890,C#,Minor,83,93,65,58,0,9,8,winter,1,True
2014,1131090940,G#,Major,67,40,52,86,0,12,4,fall,2,True
2023,307370144,C#,Major,70,37,54,6,0,9,8,winter,1,True
1992,1271293243,G,Major,53,12,34,1,0,12,4,fall,1,True
2019,265882712,A,Major,34,24,56,4,0,11,3,fall,3,True
2017,841749534,F,Major,37,17,47,2,46,11,3,spring,1,True
2023,47956378,E,Minor,74,36,63,26,0,27,5,spring,1,True
2016,806397070,A,Major,54,54,55,67,0,42,11,summer,3,True
2019,2132335812,B,Major,70,59,75,24,0,9,4,summer,2,True
2010,1641426668,F,Major,63,46,85,1,0,9,5,winter,2,True
2013,2135158446,E,Minor,57,41,66,63,0,12,5,fall,2,True
2022,367316268,G,Major,54,75,60,30,0,7,5,winter,3,True
2021,350381515,F#,Major,63,49,73,5,0,9,3,spring,2,True
2022,1264310836,F,Minor,65,19,72,10,0,13,25,spring,2,True
2023,30343206,B,Minor,50,67,89,0,0,19,8,summer,3,True
2020,405136812,A,Minor,48,37,41,32,0,10,10,winter,3,True
1968,1145727611,D,Major,74,76,70,7,0,13,3,summer,2,True
2010,540654286,F#,Minor,84,52,77,12,0,7,4,summer,1,True
2023,57312735,G#,Minor,62,55,80,15,0,37,7,summer,3,True
2022,397582059,F#,Minor,81,18,64,3,0,10,11,winter,3,True
1984,1479115056,F#,Minor,57,86,90,2,0,9,5,fall,1,True
2023,86773632,B,Minor,61,20,48,21,0,12,6,summer,3,True
2023,133753727,A#,Minor,53,24,67,11,0,10,28,spring,1,True
2023,123124076,B,Major,75,35,48,84,0,10,12,spring,3,True
2022,463564958,B,Minor,77,79,73,15,0,27,10,fall,3,True
2023,64533040,E,Major,56,53,55,53,0,12,4,spring,1,True
2023,65496046,F,Minor,89,67,78,9,0,7,33,summer,1,True
2023,68616963,F,Major,67,24,78,15,0,30,4,spring,2,False
2023,161460990,D,Major,85,53,68,40,0,9,4,spring,3,True
2023,70106975,A,Major,78,5,30,21,0,13,5,summer,2,True
2023,113509496,C#,Major,82,51,39,2,0,9,49,spring,3,True
2023,89933133,G#,Major,70,42,43,78,0,11,3,spring,2,True
2022,71007139,F,Minor,80,85,74,62,0,8,9,fall,3,True
2023,43522589,A#,Minor,73,45,62,28,0,13,13,summer,1,True
2023,232896922,A,Minor,84,64,39,3,0,11,4,spring,2,True
2023,37126685,A,Minor,77,28,55,18,0,22,15,summer,3,False
2023,195576623,D,Major,78,39,53,30,0,11,6,spring,2,True
2022,532336353,D,Major,54,25,74,14,0,9,11,fall,1,True
2022,538115192,G#,Major,71,58,70,30,0,32,19,fall,2,True
2023,46142772,G#,Major,62,7,62,6,0,58,6,spring,1,False
2022,401036314,F,Minor,72,45,59,14,0,20,21,winter,2,True
2023,127026613,A,Minor,78,90,84,31,0,7,4,spring,3,True
2022,345031710,G#,Minor,74,61,83,11,0,35,6,winter,1,True
2022,288101651,G#,Major,66,85,60,40,0,14,13,winter,3,True
2023,60350538,F#,Minor,66,32,40,81,0,11,3,spring,2,True
2022,335074782,F#,Major,95,62,52,3,0,5,16,fall,1,True
2023,76767396,C#,Major,80,69,78,28,0,11,14,spring,1,True
2023,46065667,B,Major,76,61,58,6,0,16,3,spring,3,True
2022,459276435,E,Minor,71,59,56,4,0,27,12,summer,3,True
2023,39666245,F#,Major,59,26,60,46,1,25,13,summer,1,True
2023,138517666,F#,Major,63,75,92,31,0,91,5,spring,3,True
2022,822633917,C#,Major,69,69,51,63,0,38,4,summer,3,True
