released_year,streams,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify
2022,37091576,F,Minor,66,83,43,84,0,19,19,spring,2,False
2022,284249832,B,Minor,71,67,60,7,0,6,4,winter,1,True
2022,33381454,G#,Minor,49,50,37,87,0,11,35,spring,3,False
2022,184622518,C#,Major,68,45,71,18,0,11,25,spring,3,True
2022,300983101,A#,Major,77,53,78,19,0,29,4,winter,2,False
2022,121077868,B,Major,71,37,52,62,0,11,36,spring,1,False
2022,106919680,G#,Minor,82,82,66,13,0,11,6,spring,3,False
2022,136996305,F#,Major,87,46,60,1,0,13,16,spring,1,False
2021,65719930,C#,Minor,73,59,81,13,0,9,6,winter,1,False
2022,229497852,G,Major,86,43,62,5,0,13,14,spring,1,False
2022,185550869,G#,Major,54,45,79,1,0,17,5,spring,3,False
2022,54682594,B,Major,47,33,83,18,0,10,5,winter,1,False
2022,240580042,D#,Major,53,14,43,64,0,13,3,spring,3,True
1998,1284942608,B,Minor,32,49,72,0,0,9,4,spring,3,True
2022,71423324,G#,Minor,76,79,81,18,0,6,34,spring,1,False
2019,244891912,G,Major,58,27,36,86,0,9,3,fall,1,True
2022,132171975,E,Major,47,7,50,32,0,7,4,spring,3,False
2017,184706613,E,Major,37,27,56,8,0,13,3,fall,3,False
2021,184826429,D#,Major,70,31,44,84,0,9,39,summer,3,False
2022,302006641,C#,Major,56,68,89,4,0,33,19,summer,3,False
2022,330881149,G#,Major,72,70,82,2,0,4,17,summer,1,False
2022,334733572,B,Major,72,36,72,26,6,11,4,spring,2,True
2022,366214458,D,Major,51,39,29,90,0,10,4,spring,2,True
2022,114546317,D,Major,63,29,51,43,0,25,4,summer,2,False
2022,290833204,G,Major,69,63,45,48,0,18,4,spring,3,False
2022,448500832,G#,Minor,80,74,60,8,0,14,26,spring,3,False
2022,136676504,G,Major,88,15,56,1,0,8,6,summer,2,False
2022,190625045,B,Minor,82,76,70,16,0,8,5,spring,1,False
2022,79095270,G#,Minor,60,68,84,4,0,24,11,summer,3,False
2022,273194684,D#,Major,56,40,54,72,0,10,4,spring,3,False
2022,333146475,A,Minor,80,77,85,11,0,17,14,spring,3,True
2022,194902696,F,Minor,71,39,86,2,0,51,25,spring,1,False
2022,311482393,A#,Major,58,30,46,14,0,9,3,spring,3,True
1982,195918494,G,Major,73,88,67,20,0,32,5,winter,3,False
2022,248511839,C#,Minor,82,42,75,6,0,63,6,summer,2,False
2022,233671263,G,Major,56,20,54,67,0,6,5,spring,2,False
2022,199587884,F,Major,65,88,72,36,14,20,3,spring,3,False
2022,91781263,D#,Minor,63,29,62,4,0,18,4,summer,1,False
2022,383835984,C#,Major,85,42,80,6,0,17,14,winter,2,True
2022,236060709,A,Major,72,90,48,32,0,18,23,spring,3,True
2022,189236868,A,Minor,83,90,64,35,5,9,4,spring,2,False
2022,160845341,B,Major,81,68,58,83,0,11,34,spring,1,False
2014,588955257,G#,Major,57,30,89,10,0,33,8,winter,1,False
2022,238350348,G,Major,51,21,63,5,0,41,3,spring,3,False
2022,187703102,E,Minor,71,90,81,31,2,13,3,spring,2,True
2022,295307001,D#,Minor,91,63,77,12,1,10,5,summer,2,True
2022,138334433,F#,Major,83,56,82,10,0,9,5,summer,1,False
2016,445590495,F,Major,56,25,45,1,3,7,3,fall,2,False
2022,286739476,E,Minor,60,46,71,3,0,16,4,spring,2,False
2018,1122364376,D#,Major,52,28,48,54,1,19,3,fall,1,False
2022,157136970,F,Minor,81,61,93,49,0,12,11,summer,2,True
2022,137070925,B,Major,42,32,20,94,0,11,4,spring,2,False
2021,183273246,B,Minor,68,54,76,21,0,11,20,spring,1,True
2022,184807630,C#,Major,49,14,40,82,0,11,3,spring,2,True
2022,164856284,F#,Minor,70,97,62,47,0,10,4,spring,3,False
1986,704171068,E,Minor,54,59,83,0,44,20,4,spring,1,False
2022,354614964,C#,Minor,70,87,88,4,0,26,8,summer,2,False
2022,279717388,C#,Major,91,59,82,8,0,6,8,summer,2,False
2022,195628667,E,Minor,51,5,68,12,2,15,6,summer,2,False
2022,221752937,C#,Major,73,62,75,0,0,34,8,summer,1,False
2022,263280370,G#,Minor,81,72,65,4,0,14,4,winter,2,True
2022,213505179,D,Major,80,36,86,4,0,3,5,summer,1,False
2022,130419412,F,Minor,44,41,92,0,0,44,7,spring,3,True
2022,155795783,D,Major,78,31,72,1,0,11,4,summer,1,False
1987,1553497987,F#,Major,45,67,90,9,11,10,5,winter,2,True
2022,293466523,D#,Minor,80,55,56,13,0,8,9,spring,1,True
2022,711366595,G,Major,56,52,64,11,0,45,7,spring,3,False
2022,191448892,A#,Minor,88,8,49,9,0,9,14,summer,3,False
2022,85924992,A,Major,88,52,69,0,0,8,23,summer,3,False
2022,176103902,F#,Major,95,83,57,54,0,10,25,summer,2,True
2022,121189256,C#,Major,85,80,83,10,0,8,11,summer,1,False
2022,131746175,G#,Minor,44,44,67,7,0,12,13,summer,3,False
2022,244790012,C#,Major,58,68,91,2,0,27,11,spring,2,True
2022,129314708,D#,Minor,71,78,40,46,0,7,45,summer,2,True
2022,331511413,C#,Major,63,56,43,24,0,12,23,summer,2,True
2022,219196651,D,Major,77,94,87,2,0,23,12,summer,2,False
2022,170732845,E,Minor,72,18,46,7,0,28,8,summer,2,False
2020,273914335,F,Major,70,46,76,30,0,9,45,winter,2,True
2022,179061440,G#,Minor,74,46,58,15,0,13,8,summer,3,True
2022,185236961,G#,Major,61,38,62,14,0,23,40,summer,1,True
2022,171788484,A#,Minor,55,46,64,0,0,17,10,summer,2,False
2019,387080183,B,Major,47,56,90,0,0,10,4,fall,2,True
2022,264717480,A#,Minor,81,70,65,24,0,8,4,summer,1,True
2022,244928911,F,Major,90,73,51,39,0,9,6,spring,2,True
2022,97610446,G,Major,56,43,53,24,0,12,4,summer,3,False
2022,287278853,G,Minor,79,64,59,28,0,11,14,summer,1,True
2008,887906111,A#,Minor,79,66,65,5,0,25,14,winter,1,True
2022,123473120,A,Major,81,90,73,28,0,29,4,summer,2,False
2022,295152154,A#,Major,77,71,75,33,1,13,4,summer,3,True
2022,323455692,G#,Major,70,97,59,55,0,27,12,winter,2,True
2022,240918092,B,Major,82,49,88,20,0,21,3,summer,3,False
2022,191873381,G#,Major,77,74,74,47,0,34,8,spring,3,True
2017,284216603,D,Major,67,49,77,11,0,19,11,fall,2,False
2022,239411309,C#,Minor,67,72,74,30,0,36,4,fall,1,True
2022,265548837,C#,Major,68,80,92,10,0,9,12,summer,2,True
2013,703301727,C#,Major,37,28,66,14,0,9,5,winter,3,True
2022,244585109,A,Major,74,71,89,24,61,15,5,summer,3,True
2022,189476119,D#,Minor,77,78,91,14,0,33,12,summer,2,False
2022,277132266,C#,Major,90,75,50,11,0,9,26,winter,1,False
2022,278920007,G#,Minor,70,58,57,25,0,15,7,summer,3,True
2022,222410722,A#,Minor,65,79,66,31,0,22,7,summer,1,True
2022,185392587,C#,Minor,65,52,80,5,0,6,25,fall,3,True
2022,202452860,C#,Major,34,22,31,43,63,10,7,summer,1,False
2002,1608164312,F,Major,56,21,44,73,0,11,2,summer,3,True
2000,624101957,C#,Major,37,17,27,75,5,10,3,summer,1,True
2022,148461629,E,Minor,70,26,76,8,0,54,23,fall,3,False
2022,47093942,A#,Major,81,48,70,13,0,15,7,fall,1,False
2016,380319238,C#,Minor,64,4,60,11,0,19,4,summer,1,False
2022,209106362,B,Minor,82,75,85,33,1,11,4,summer,2,True
2022,53987404,D,Major,78,75,62,6,0,15,6,fall,1,False
2022,115331792,F,Minor,70,26,56,14,83,11,5,summer,3,False
2022,225093344,D,Major,52,24,60,0,0,8,3,fall,2,True
2022,84697729,D#,Minor,65,24,53,6,0,51,4,fall,1,False
2022,159240673,A,Major,84,43,75,5,0,6,8,summer,1,False
2022,170709584,E,Minor,73,65,91,4,0,48,18,fall,3,True
1982,154356956,A,Major,66,24,58,17,0,19,5,spring,3,False
2018,723043854,G,Major,57,24,37,11,18,16,3,fall,2,False
2022,247689123,G,Major,72,92,77,9,0,8,11,summer,3,True
2022,176474912,D,Major,57,50,85,5,0,16,4,fall,2,False
2022,235549288,G,Major,92,53,62,7,0,63,10,fall,3,True
2020,140430339,D#,Minor,49,13,74,0,0,9,4,winter,2,True
2022,85559365,F,Minor,74,22,67,0,0,11,46,fall,3,False
2022,146223492,A#,Major,80,82,81,14,0,13,36,fall,3,True
2022,187701588,A#,Minor,59,62,60,12,0,5,44,summer,3,True
2022,154863153,G#,Minor,91,23,55,1,0,7,32,fall,3,False
2022,191333656,E,Minor,75,45,63,6,0,35,12,fall,2,False
2022,253650850,E,Minor,80,16,28,17,0,12,39,fall,1,False
2022,223064273,G,Major,75,11,50,20,0,30,17,fall,2,False
2022,170413877,A,Major,84,33,36,2,0,39,59,fall,3,False
2022,218320587,E,Major,66,12,35,55,0,9,14,fall,2,False
2022,141720999,C#,Major,73,25,61,1,0,32,7,fall,1,False
2022,187339835,G,Major,48,15,31,80,22,12,4,fall,2,False
2022,198365537,G,Major,77,20,70,1,0,16,5,fall,2,True
2022,186104310,D#,Major,34,39,16,97,0,12,5,fall,3,False
2022,177503916,G,Major,48,55,84,43,0,15,12,fall,3,False
2022,71095708,D,Minor,62,25,44,51,33,14,3,fall,2,False
2022,112436403,F,Major,93,62,61,0,0,12,20,fall,3,False
2022,203436468,F,Major,54,22,76,0,0,14,3,fall,2,True
2022,93367537,F,Minor,85,40,43,4,0,39,32,fall,3,False
2022,106249219,D,Major,64,11,53,1,0,25,27,fall,2,False
2022,181382590,F,Major,57,55,74,22,0,8,4,fall,1,False
2022,91473363,A,Major,60,24,39,57,0,8,3,fall,3,False
2022,121871870,F#,Major,42,7,24,83,1,12,6,fall,3,False
2022,73513683,C#,Major,80,81,67,4,0,8,6,fall,1,False
2022,133895612,C#,Major,82,67,77,8,0,12,5,fall,1,False
2022,96007391,E,Minor,61,32,67,15,0,11,5,fall,1,True
