released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify,class_label_apple_chart_category
2023,2528,172825906,56,59,D,Major,50,37,90,0,0,12,5,2,3,True,2
2004,12985,1241559043,49,"2,394",E,Minor,62,24,67,21,0,13,28,1,1,True,2
2023,77,29562220,8,4,E,Minor,81,53,72,51,0,12,5,3,3,True,3
2022,266,77309611,6,6,A#,Major,54,50,40,61,0,10,6,2,3,True,1
2017,21097,1605224506,384,"1,034",C#,Major,80,92,80,4,0,10,3,4,2,True,3
2017,3423,1116995633,41,59,C#,Major,61,45,69,2,0,9,3,2,2,True,2
2021,4198,838079900,98,327,F,Minor,77,65,72,2,0,7,5,2,2,True,3
2011,14739,1163620694,88,"2,163",D,Minor,61,47,68,0,0,13,3,1,2,True,3
2012,26792,1093605526,69,695,E,Minor,74,37,53,7,0,21,10,1,3,True,3
2022,213,179659294,7,0,F,Major,51,18,44,76,0,11,3,1,2,True,1
2023,58,39058561,2,4,B,Major,77,79,62,33,1,15,3,3,2,True,3
2023,99,36912123,21,6,G,Major,65,49,78,0,0,17,4,3,2,True,2
1985,41751,1205951614,101,"2,655",G,Major,64,54,81,36,0,11,6,1,2,True,1
2014,21164,1791000570,80,476,A#,Minor,70,47,52,30,0,6,33,1,1,True,2
2023,2988,201660859,74,145,D#,Minor,55,30,78,24,0,12,8,1,3,True,3
2023,893,248088961,19,24,F,Minor,84,96,71,18,0,34,17,1,2,True,1
2023,1094,90839753,40,47,B,Minor,82,89,85,4,0,23,6,2,2,True,2
2020,7324,607123776,25,61,F,Major,51,42,61,53,0,9,3,3,1,True,2
2023,201,55842345,19,8,A,Minor,75,79,63,33,0,15,4,3,2,True,3
2023,5120,211050784,161,246,A,Major,64,31,87,4,4,8,4,2,3,True,3
2022,2346,342897938,69,38,G#,Major,74,68,68,3,0,26,4,3,3,True,1
2022,763,2762,21,21,A#,Major,49,78,64,19,0,11,4,1,3,True,3
2021,457,330346424,8,4,B,Major,81,39,60,31,0,7,3,3,1,True,3
2022,3430,601863821,45,52,F,Major,87,57,55,10,0,29,7,3,1,True,2
2011,6074,1953533826,201,"6,551",D,Major,63,88,93,3,0,10,8,3,3,True,1
2019,21915,2322580122,437,"1,212",G,Major,55,56,82,12,0,34,5,4,1,True,3
2017,15032,2355719893,221,"1,078",E,Minor,35,12,30,93,0,10,3,3,2,True,2
2023,871,66902503,25,32,B,Major,78,59,65,10,0,26,5,3,2,True,2
2023,451,96273746,10,7,E,Minor,82,69,83,3,0,27,5,2,2,True,3
2023,1783,430977451,26,15,A,Minor,80,74,77,36,0,11,4,1,2,True,3
2011,9389,284819874,24,282,D,Major,42,20,86,21,0,9,9,1,3,True,3
2023,5724,721975598,119,254,D,Minor,78,50,63,27,0,9,5,1,2,True,3
2007,13985,1217120710,30,588,E,Major,52,20,85,0,0,7,5,2,3,True,2
2023,1051,109276132,31,31,B,Major,63,22,54,46,0,12,8,3,3,True,1
2022,1682,276259178,24,30,C#,Minor,75,48,53,18,0,18,34,1,2,True,2
2023,182,54225632,3,1,G,Minor,76,96,72,32,0,9,4,2,2,True,2
2017,16596,2559529074,7,"2,094",G#,Major,60,17,45,16,0,11,2,1,1,True,5
2022,2335,681583126,82,50,F#,Major,56,20,55,45,1,32,3,3,3,True,2
2017,18986,2594040133,250,"2,969",A#,Minor,77,74,78,4,0,23,11,1,2,True,3
2023,283,81102253,6,26,D#,Minor,84,65,50,67,0,13,6,2,2,True,1
2023,293,11956641,5,30,B,Minor,93,68,65,42,0,12,25,3,3,True,1
2002,21081,1687664027,98,"3,889",G,Major,92,67,66,0,0,36,9,1,2,True,2
2023,437,11599388,17,26,G,Major,79,92,89,5,0,6,5,3,1,True,1
2016,1275,611700552,13,5,F,Minor,59,52,48,38,5,10,11,4,1,True,1
2022,6135,1133865788,71,99,D#,Minor,65,27,69,8,0,53,4,2,1,True,3
2004,20015,1089402494,107,"5,239",A,Major,45,33,59,6,0,8,3,1,3,True,2
2019,1507,411747614,24,44,E,Major,60,24,35,73,0,31,3,2,2,True,2
2023,539,255932395,7,4,G,Minor,74,96,80,18,0,5,5,1,3,True,2
2023,86,31873544,7,3,A,Minor,81,90,77,1,0,9,5,3,2,True,2
2023,324,95053634,13,8,F#,Major,78,70,81,57,0,10,5,2,2,True,3
2010,17138,1279434863,119,974,C#,Major,47,86,92,8,0,5,24,1,2,True,2
2023,894,233801632,14,66,A,Major,69,61,71,33,0,31,20,1,3,True,2
2012,1622,1481349984,0,356,F,Major,73,87,70,6,0,28,5,1,3,True,5
2023,561,142095275,4,12,B,Major,50,85,52,11,0,28,6,2,3,True,1
2022,5871,618885532,81,58,C#,Major,54,40,67,0,0,9,17,3,3,True,3
2013,29215,2011464183,179,"3,394",C#,Minor,66,48,71,6,0,12,4,1,2,True,2
2021,5866,1167330737,107,95,D,Major,61,41,74,21,0,40,6,2,3,True,1
2019,3859,929964809,133,3,A,Minor,73,31,69,6,0,11,4,4,2,True,3
2023,961,436027885,19,10,G,Minor,78,89,83,10,0,12,5,1,3,True,3
2004,6457,657723613,98,453,C#,Major,86,74,80,33,0,8,6,3,1,True,2
2016,43257,2713922350,433,"3,631",C#,Major,77,36,63,1,0,36,5,2,1,True,3
2010,4564,621660989,24,113,G#,Major,45,24,62,8,0,16,3,1,3,True,2
2020,12688,1591223784,197,112,C#,Major,68,61,82,2,0,50,3,2,2,True,3
2010,13801,950906471,137,435,B,Minor,68,51,60,3,0,19,10,2,1,True,3
1983,22439,1593270737,211,929,C#,Major,82,73,45,54,0,7,3,1,2,True,2
2015,18515,1410088830,70,939,D,Major,45,10,37,97,25,64,4,1,3,True,2
2011,36843,1235005533,321,"4,607",C#,Major,73,60,77,3,0,11,4,1,2,True,2
2012,2420,1661187319,0,806,C#,Major,60,43,27,94,0,14,4,1,3,True,5
2018,5897,1374581173,0,885,C#,Minor,65,51,55,73,0,14,3,2,3,True,5
2023,727,94186466,17,28,A,Minor,60,13,53,4,0,21,4,3,1,True,2
2013,33783,1788326445,133,"2,733",F,Major,55,42,53,17,0,22,3,1,1,True,2
2012,26694,1840364617,65,"3,425",D#,Major,33,38,71,20,0,28,5,1,3,True,2
2023,356,143573775,35,8,C#,Major,57,84,94,11,0,37,9,2,3,True,3
